article,article_txt,mtb_merch_category_level1,mtb_ah_level1_txt,mtb_ah_level2_txt,mtb_ah_level3_txt,mtb_ah_level4_txt,mtb_ah_level5_txt,mtb_ah_level6_txt,mtb_ah_level7_txt,sellin_invoiced_eur_aar
MBMX007KT7,PUSH STA 42 STL pol D.h 3.7,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,157.02
MB1113600,M25738 BP Body black pre-assembled_ASS,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN SLEEVE,PEN SLEEVE,823.840288777
MBMX001DJG,BTE STAR GM GILT Q,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,WATCH COMPLETE CASE,570.619072863
MBMXE08W3Z,BKLE FOR ARD OR CLASP ST POL,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,20.918578456
MB1119018,M25003 BP rotary mechanism complete BUY,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WRITING INSTRUMENTS SPARE PARTS,PEN MECHANISM,PEN MECHANISM,170.966291711
MBMXE07XDC,QTZ MVT MB 2106 CHRH1 AP.4H,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,MOVEMENT,NON REFURBISHABLE MOVEMENT / LOCAL SCRAP,908.14711216
MBMX005MKD,PUSH 5N GLD,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,CORRECTOR & PUSHER,1209.566595222
MBMX0023J2,CRACKED PIN STEEL D=1.0 L=21.35,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,PIN,27.68
MBMXE03ZJX,BKLE FOR DEPL ST POL LI=18,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,BRACELET,OTHER BRACELET & CLASP COMPONENTS,1186.705723152
MBMX007KC5,BCK w/scrw fxd STA 36 AC 7237,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,CASE,BACKCASE,64.364856788
MB130326,WHITE BOX WATCH 2021,,MONTBLANC,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PACKAGING LINKED TO FINISHED PRODUCTS,PKG WA,PKG WA,-95.540339238
MB134463,MST Squared Silver Col Frame Sunglasses,,MONTBLANC,EYEWEAR,EYEWEAR,EYEWEAR,EYEWEAR,EYEWEAR,EYEWEAR,2165.048514934
MB1067082,Earring back_Butterfly starshaped_silver,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,JEWELLERY SPARE PARTS,JEWELLERY SPARE PARTS,JEWELLERY SPARE PARTS,54.823529824
MB119734,4810 WST Wallet 13cc zip around blackXB,,MONTBLANC,LEATHER,SMALL LEATHER GOODS,SMALL LEATHER GOODS,SMALL LEATHER GOODS,OTHERS SLG,OTHERS SLG,88.84
MBMX007SNB,CLAMP ST DURN,,MONTBLANC,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,SERVICES/SPARE PARTS,WATCH SPARE PARTS,COMMON,CLAMP,61.812428394
